"ANALYSE COMPARATIVE - Table_A_Arduino_V0 vs V1 - Projet RZ - Mars 2026
?? Points à corriger : (A) supprimer emg de V1  (B) supprimer parenthèses sur commandes ponctuelles";;;;;;;
LÉGENDE STATUTS :  ? OK = identique  |  ?? Modifié = même concept, changé  |  ?? Manquant V1 = en V0 pas en V1  |  ? Ajout V1 = nouveau  |  ?? À supprimer = retirer de V1  |  ? À vérifier = action requise;;;;;;;
MODULE (VAR);PROP V0;CAT V0;PROP V1;CAT V1;STATUT;ANALYSE - CONSEIL;Mes commentaires
?? CfgS ??;;;;;;;
seuilDetectPresence;(reset);V;reset;V;?? Modifié;"V0 utilise parenthèses ? à supprimer en V1 (point D). Nom ""reset"" sans parenthèses = correct.";
CfgS;(reset) ACK;I;reset (ACK);I;? OK;ACK présent dans les deux. Vérifier direction : A?SP et SE?SP.;
CfgS;modeRZ;V+I;modeRZ;V+I;? OK;Bien présent dans les deux. ACK A?SP confirmé.;
CfgS;typePtge;V;-;-;?? Manquant V1;typePtge est dans la table SE (SP?SE + relais A). À vérifier si Arduino doit aussi en ACK.;« « L'arduino ,interagit avec le pilotage, dans le cas d'un pilotage impliquant la voie (modePtge laisse et vocal_laisse) . Il doit-être présent » »
CfgS;emg;-;(emg);V+I;?? À supprimer V1;"?? Point C : la propriété emg a disparu de l'architecture actuelle. Supprimer de V1.
Vérifier dispatch_CfgS.cpp et urg.cpp pour retirer la référence à emg.";ok pour vérifier
CfgS;typePge (debug);V;-;-;? À vérifier;"V0 avait typePge lié au debug et au mode type écran/joystick/vocal.
À vérifier : est-ce redondant avec typePtge ou propriété distincte ?";A vérifier, il semble lié
?? COM ??;;;;;;;« « La création de COM a été postérieur au développement du code arduino, en association avec une révision de la gestion des urgences. Ce qui explique son absence. Je ne suis pour autant pas contre que l'on introduise cette variable et les propriétés associés et qu'en parallèle on relise les  fichiers  pour voir sa place éventuelle et que l'on vérifie que le sysyème d'urgence, warn error est cohérent et commun à toute l'application robotRZ » »
COM;debug;V;-;-;?? Manquant V1;"V0 référençait debug A|SE?SP. Absent de V1. Décision : COM est géré côté SE.
Si Arduino émet des COM:debug, il faut l'ajouter en V1. Sinon OK.";
COM;error;V;-;-;?? Manquant V1;"COM:error A?SP absent de V1. En pratique sendError() génère :COM:error...
Conseil : ajouter une ligne générique COM:error(E) A?SP dans V1.";
COM;info;V;-;-;?? Manquant V1;"COM:info A?SP absent de V1. sendInfo() peut générer des COM:info non tracés.
Conseil : ajouter COM:info(I) A?SP pour couvrir les ACKs génériques.";
