ID;Traitement;CAT;Destinataire;moteurActif;Alias;ID_fils;VAR;PROP;INSTANCE;VALEUR;Prepa_Encodage;Alias-TTS;Statut;Note Technique
MTR_FORWARD;SIMPLE;V;A;1;avance,tout droit,vas-y,en avant;;Mtr;speed;*;50;-;Je fonce.|C'est parti.;Ok;Commande de base. Vitesse 50 est un compromis sécurité/couple pour éviter les à-coups.
MTR_STOP;SIMPLE;V;A;1;stop,arrête,halte,freine;;Mtr;speed;*;0;-;Je m'arrête.|Arrêt immédiat.;Ok;Priorité absolue. Doit être reconnu et traité instantanément par le handler peu importe le contexte.
MTR_TURN_DIR;PLAN;V;A;1;tourne,pivote,oriente;;Mtr;turn;*;X;angle->calc;Je tourne de X degrés.;Pro;Extrait la valeur numérique et le sens (gauche/droite). Calcule l'angle relatif pour l'Arduino.
LRUB_SET_RGB;SIMPLE;V;A;0;change de couleur,allume les leds,lumière leds;;Lrub;mode;*;2;-;Couleur changée.;Pro;Passe le ruban en mode fixe (2). Améliore l'UX en donnant un feedback visuel immédiat à une commande vocale.
SYS_RESET_URG;SIMPLE;V;P;0;efface urgence,ràz,alerte fin,quitte urgence;;Urg;clear;*;1;-;Urgence acquittée.;Pro;Utilise Urg:clear (Table A). Crucial pour débloquer le robot après un incident sans passer par l'interface SP.
SYS_SET_VEILLE;SIMPLE;V;SE;0;mode veille,repose-toi,dors;;CfgS;modeRZ;*;1;-;Passage en veille.;Pro;Bascule le robot en modeRZ=1. Coupe les moteurs et réduit la consommation CPU des managers.
VOICE_VOL_SET;PLAN;V;SE;0;volume,son,plus fort,moins fort;;Voice;volume;*;X;vol->calc;Volume réglé à X.;Pro;Ajuste dynamiquement le niveau du TTS. Le handler traduit les adverbes (fort, doux) en paliers numériques.
SYS_GET_BAT;SIMPLE;I;SE;0;batterie,niveau d'énergie,ton énergie;;Sys;batV;*;?;volt->pct;Ma batterie est à X pour cent.;Pro;Lecture de Sys:batV dans le runtime. Le handler convertit la tension brute en pourcentage lisible par l'humain.
SYS_GET_TEMP;SIMPLE;I;SE;0;température,tu chauffes,fièvre;;Sys;temp;*;?;temp->check;Il fait X degrés.;Pro;Sécurité préventive. Le TTS varie selon le seuil : rassurant si < 50°C, alarmiste si > 60°C.
NAV_GET_HEADING;SIMPLE;I;SE;0;où est le nord,ton cap,orientation;;Mag;head;*;?;deg->cardinal;Je regarde vers le X.;Pro;Conversion sémantique. Le handler transforme les degrés (0-359) en points cardinaux (Nord, Est, etc.) pour le TTS.
GYRO_GET_PITCH;SIMPLE;I;SE;0;inclinaison,tu es droit,équilibre;;Gyro;angV;*;?;deg->pitch;Je suis incliné de X degrés.;Pro;Diagnostic d'équilibre via Gyro:angV. Utile pour confirmer que le robot est bien à plat ou sur une rampe.
CAM_TORCH_ON;SIMPLE;V;A;0;allume la lumière,torche,phare,éclairage;;Cam;light;*;1;-;J'y vois plus clair.;Pro;Action directe sur la LED physique via Arduino. Note : à brider si la température CPU est déjà trop haute.
CAM_TORCH_OFF;SIMPLE;V;A;0;éteins la lumière,coupe le phare;;Cam;light;*;0;-;On retourne dans l'ombre.;Pro;Symétrique de l'allumage. Assure l'économie d'énergie.
SYS_SET_PILOT;PLAN;V;SE;0;pilote au,mode pilotage,change pilotage;;CfgS;typePtge;*;X;ptge->calc;Mode de pilotage X activé.;Pro;"Modifie typePtge (Table A). Le handler traduit ""vocal""->1, ""manette""->2, ""laisse""->3. Mise à jour immédiate de global.json."
COM_GET_STATE;SIMPLE;I;SE;0;état connexion,es-tu connecté,réseau;;COM;state;*;?;bool->state;Le lien avec le superviseur est X.;Pro;Diagnostic réseau via COM:state. Permet de savoir si le robot est en lien avec le SP ou en autonomie locale.
AI_START_CONV;LOCAL;-;SE;0;discute avec moi,on parle,mode discussion;;-;-;-;-;switch->Conv;Je t'écoute, de quoi veux-tu parler ?;Pro;"Bascule logicielle sans VPIV. Force rz_stt_manager.py en contexte ""Conv"" pour dialoguer avec Gemini (IA Cloud)."
MACRO_HELLO;COMPLEXE;V;SE;1;dis bonjour,accueille,salutation;MTR_STOP,LRUB_SET_RGB,VOICE_SAY_HI;-;-;-;-;-;-;Pro;Séquenceur d'actions. Déclenche l'arrêt moteur, un signal visuel LED et un message de bienvenue en cascade.
VOICE_SAY_ID;SIMPLE;I;SE;0;qui es-tu,identité,ton nom;;Sys;name;*;?;-;Je suis le robot RZ, ton compagnon.;Pro;Renforcement de l'identité. Utilise la variable Sys:name pour personnaliser la réponse vocale.
